Network_Name,Strategy,Avg_Total_Infections,total_tests_administered,total_positive_tests,total_wasted_tests,Avg_Peak_Infections,Avg_Time_to_Peak,integrated_infections,communities_infected_count,proportion_infected,avg_time_to_infection,communities_intervened_count,proportion_intervened,avg_time_to_intervention,Avg_Peak_Infections,Avg_Time_to_Peak,Avg_Total_Infections,Avg_Positive_Test_Rate,Avg_Tests_per_Positive,Gini_Coefficient_Allocations,Avg_Quarantine_Efficiency
LiveJournal,Beta-Binomial-14,0.0,5000.0,1509.8,1549.0,3205.0,27.8,111952.8,0.0,0.0,,0.0,0.0,,,,,,,,0.010724690056718325
LiveJournal,Gamma-Poisson-14,0.0,5000.0,751.2,3900.6,3195.0,29.0,136023.0,0.0,0.0,,0.0,0.0,,,,,,,,0.006753802138232169
LiveJournal,LocalGNTS-14,0.0,9109.8,2287.2,6130.2,2913.2,27.4,90817.6,0.0,0.0,,0.0,0.0,,,,,,,,0.016801284947046084
LiveJournal,Proportional,0.0,5000.0,1505.8,3486.2,3138.6,29.0,111036.2,0.0,0.0,,0.0,0.0,,,,,,,,0.015177031571550427
LiveJournal,Random,0.0,5000.0,944.8,3337.0,3187.0,28.6,135692.6,0.0,0.0,,0.0,0.0,,,,,,,,0.0031364754304070226
LiveJournal,Uniform,0.0,5000.0,1003.2,3419.6,3163.2,29.0,134257.8,0.0,0.0,,0.0,0.0,,,,,,,,0.0036976358982080586
Orkut,Beta-Binomial-14,0.0,5000.0,2472.0,1887.0,4280.8,23.2,144400.8,0.0,0.0,,0.0,0.0,,,,,,,,0.02164903442485303
Orkut,Gamma-Poisson-14,0.0,5000.0,496.6,3436.4,4227.6,23.8,182814.2,0.0,0.0,,0.0,0.0,,,,,,,,0.013393786733837103
Orkut,LocalGNTS-14,0.0,16509.8,4980.4,9862.0,4018.2,19.8,85261.6,0.0,0.0,,0.0,0.0,,,,,,,,0.040310663308144375
Orkut,Proportional,0.0,5000.0,2263.4,2736.6,4172.4,25.6,140941.6,0.0,0.0,,0.0,0.0,,,,,,,,0.022658270361041104
