Network_Name,Strategy,Avg_Quarantine_Efficiency,Avg_Peak_Infections,Avg_Time_to_Peak,Positive_Test_Rate
LiveJournal,Beta-Binomial-14,0.010724690056718325,3205.0,27.8,0.30196
LiveJournal,Gamma-Poisson-14,0.006753802138232169,3195.0,29.0,0.15024
LiveJournal,LocalGNTS-14,0.016801284947046084,2913.2,27.4,0.2513180360483115
LiveJournal,Proportional,0.015177031571550427,3138.6,29.0,0.30116
LiveJournal,Random,0.0031364754304070226,3187.0,28.6,0.18896000000000002
LiveJournal,Uniform,0.0036976358982080586,3163.2,29.0,0.20064
Orkut,Beta-Binomial-14,0.02164903442485303,4280.8,23.2,0.4944
Orkut,Gamma-Poisson-14,0.013393786733837103,4227.6,23.8,0.09931999999999999
Orkut,LocalGNTS-14,0.040310663308144375,4018.2,19.8,0.3025310653073034
Orkut,Proportional,0.022658270361041104,4172.4,25.6,0.45267999999999997
Orkut,Random,0.01964735516372792,4175.0,23.6,0.45804
Orkut,Uniform,0.02124097397145252,4241.8,25.6,0.46424000000000004
Youtube,Beta-Binomial-14,0.010403878301571341,2438.2,29.6,0.28008
Youtube,Gamma-Poisson-14,0.000577064526914068,2461.0,31.2,0.07483999999999999
Youtube,LocalGNTS-14,0.021600802407221623,1513.2,27.2,0.22741793559551987
Youtube,Proportional,0.014708124373119318,2316.8,32.0,0.27576
Youtube,Random,0.00663925108659307,2484.0,31.0,0.22864
Youtube,Uniform,0.007921765295887622,2427.6,32.6,0.26624
